article,efo,count,dbName,dbId
PMC4220615,"cervix",1,,EFO_0000979
PMC4220615,"transgenic",1,,EFO_0004020
PMC4220615,"female",1,,EFO_0001265
PMC4220615,"H157",1,,EFO_0003118
PMC4220615,"Raji",1,,EFO_0002324
PMC4220615,"L428",1,,EFO_0002225
PMC4224956,"male",33,,EFO_0001266
PMC4224956,"weights",24,,EFO_0004338
PMC4224956,"female",13,,EFO_0001265
PMC4224956,"reproductive system",8,,EFO_0000809
PMC4224956,"adult",7,,EFO_0001272
PMC4224956,"dose",7,,EFO_0000428
PMC4224956,"mg/kg",4,,EFO_0002902
PMC4224956,"fast",4,,EFO_0002756
PMC4224956,"male fertility",3,,EFO_0004803
PMC4224956,"seminiferous tubules",3,,EFO_0001404
PMC4224956,"Wistar",2,,EFO_0001342
PMC4224956,"diseases",2,,EFO_0000408
PMC4224956,"temperature",2,,EFO_0001702
PMC4224956,"duration",2,,EFO_0000433
PMC4224956,"pregnancies",2,,EFO_0002950
PMC4224956,"axis",2,,EFO_0001040
PMC4224956,"Experimental design",1,,EFO_0001426
PMC4224956,"leaf",1,,EFO_0000993
PMC4224956,"dorsal",1,,EFO_0001656
PMC4224956,"dissection",1,,EFO_0003856
PMC4224956,"distal",1,,EFO_0001655
PMC4224956,"Seed",1,,EFO_0000991
PMC4224956,"software",1,,EFO_0002029
PMC4224956,"smooth muscles",1,,EFO_0000889
PMC4224956,"measurement",1,,EFO_0001444
PMC4232691,"leaf",48,,EFO_0000993
PMC4232691,"transcriptome",12,,EFO_0004421
PMC4232691,"substrates",9,,EFO_0005061
PMC4232691,"metabolites",7,,EFO_0004727
PMC4232691,"acid",5,,EFO_0004416
PMC4232691,"precursor",4,,EFO_0001651
PMC4232691,"strain",4,,EFO_0005135
PMC4232691,"pathogens",3,,EFO_0000643
PMC4232691,"genome",3,,EFO_0004420
PMC4232691,"stalk",3,,EFO_0001040
PMC4232691,"basal",3,,EFO_0001654
PMC4232691,"temperature",3,,EFO_0001702
PMC4232691,"hair",2,,EFO_0000958
PMC4232691,"ocimene",2,,EFO_0003191
PMC4232691,"atmosphere",1,,EFO_0000273
PMC4232691,"cuticle",1,,EFO_0000944
PMC4232691,"apical",1,,EFO_0001653
PMC4232691,"injury",1,,EFO_0000546
PMC4232691,"test result",1,,EFO_0000720
PMC4232691,"developmental stage",1,,EFO_0000399
PMC4232691,"root",1,,EFO_0000989
PMC4232691,"flowers",1,,EFO_0001024
PMC4232691,"weight",1,,EFO_0004338
PMC4232691,"cold",1,,EFO_0000341
PMC4232691,"dissection",1,,EFO_0003856
PMC4232691,"fast",1,,EFO_0002756
PMC4232691,"biological replicates",1,,EFO_0002091
PMC4242925,"aerial parts",9,,EFO_0001901
PMC4242925,"temperature",6,,EFO_0001702
PMC4242925,"Indian",2,,EFO_0003153
PMC4242925,"Chinese",1,,EFO_0003157
PMC4242925,"seeds",1,,EFO_0000991
PMC4242925,"Iranian",1,,EFO_0003162
PMC4293675,"metabolites",13,,EFO_0004727
PMC4293675,"acids",8,,EFO_0004416
PMC4293675,"strains",7,,EFO_0005135
PMC4293675,"substrates",6,,EFO_0005061
PMC4293675,"temperatures",6,,EFO_0001702
PMC4293675,"hand",3,,EFO_0000877
PMC4293675,"procedures",3,,EFO_0002571
PMC4293675,"Chinese",3,,EFO_0003157
PMC4293675,"roots",2,,EFO_0000989
PMC4293675,"genome",1,,EFO_0004420
PMC4293675,"lateral",1,,EFO_0001657
PMC4293675,"bark",1,,EFO_0001041
PMC4309438,"measurement",6,,EFO_0001444
PMC4309438,"substrate",4,,EFO_0005061
PMC4309438,"exposure",3,,EFO_0000487
PMC4309438,"temperature",2,,EFO_0001702
PMC4309438,"height",2,,EFO_0004339
PMC4309438,"sensillum",1,,EFO_0000939
PMC4309438,"weight",1,,EFO_0004338
PMC4309438,"software",1,,EFO_0002029
PMC4309438,"dose",1,,EFO_0000428
PMC4309438,"replicates",1,,EFO_0000683
PMC4311404,"substrate",7,,EFO_0005061
PMC4311404,"precursors",2,,EFO_0001651
PMC4311404,"temperatures",2,,EFO_0001702
PMC4311404,"proximal",1,,EFO_0001661
PMC4311404,"fast",1,,EFO_0002756
PMC4311404,"recombination",1,,EFO_0004293
PMC4311404,"insertions",1,,EFO_0004016
PMC4311404,"acid",1,,EFO_0004416
PMC4311427,"adults",67,,EFO_0001272
PMC4311427,"transcriptome",21,,EFO_0004421
PMC4311427,"female",17,,EFO_0001265
PMC4311427,"male",9,,EFO_0001266
PMC4311427,"pathogens",4,,EFO_0000643
PMC4311427,"acids",4,,EFO_0004416
PMC4311427,"virgin",3,,EFO_0002951
PMC4311427,"disease",2,,EFO_0000408
PMC4311427,"developmental stage",2,,EFO_0000399
PMC4311427,"software",2,,EFO_0002029
PMC4311427,"genomes",1,,EFO_0004420
PMC4311427,"risk factors",1,,EFO_0003919
PMC4311427,"substrates",1,,EFO_0005061
PMC4311427,"flowers",1,,EFO_0001024
PMC4311427,"nectar",1,,EFO_0001046
PMC4311427,"pool",1,,EFO_0000663
PMC4311427,"array",1,,EFO_0002698
PMC4311427,"anther",1,,EFO_0005101
PMC4311427,"Illumina Hiseq2000",1,,EFO_0004203
PMC4311427,"fastq format",1,,EFO_0004155
PMC4311427,"duplication",1,,EFO_0004015
PMC4311427,"procedure",1,,EFO_0002571
PMC4311427,"temperature",1,,EFO_0001702
PMC4311427,"biological replicates",1,,EFO_0002091
PMC4319901,"dose",57,,EFO_0000428
PMC4319901,"weight",15,,EFO_0004338
PMC4319901,"Random",14,,EFO_0004189
PMC4319901,"male",13,,EFO_0001266
PMC4319901,"procedure",11,,EFO_0002571
PMC4319901,"female",11,,EFO_0001265
PMC4319901,"measurements",8,,EFO_0001444
PMC4319901,"software",4,,EFO_0002029
PMC4319901,"Acid",3,,EFO_0004416
PMC4319901,"leaf",3,,EFO_0000993
PMC4319901,"root",2,,EFO_0000989
PMC4319901,"strain",2,,EFO_0005135
PMC4319901,"hypertrophy",2,,EFO_0002460
PMC4319901,"alpha",1,,EFO_0001270
